east,north,cat,area
1042130.6367684,1177054.03176664,6059,56696.19526800
1088796.84250807,1176814.05407191,6068,59396.01409000
1017680.00502438,1176784.05686007,6113,192587.07598900
915197.3571255,1176544.07916535,6141,135890.88072100
924047.58579359,1176604.07358903,6145,80094.62506100
1042115.63638083,1176694.06522455,6167,127791.42425400
1022390.12672231,1176904.04570744,6220,109792.63210600
1107457.32464891,1176784.05686007,6234,94493.65878000
907157.14938637,1176814.05407191,6245,81894.50427600
1083186.69755576,1176694.06522455,6278,115192.26975000
946248.15940166,1176784.05686007,6296,126891.48464700
1106617.30294482,1176844.05128375,6372,55796.25566000
1002739.61900165,1176634.07080087,6458,68395.41016400
1072221.41423988,1176454.08752983,6522,107992.75289100
1107667.33007493,1176484.08474167,6579,437370.64920800
1104067.2370574,1176604.07358903,6633,101693.17563900
939527.98576894,1176364.09589431,6646,130491.24307600
960243.52100728,1176544.07916535,6696,107992.75289100
1050530.85380929,1176454.08752983,6716,318578.62102800
1065141.23130542,1176574.07637719,6720,82794.44388300
946923.17684244,1176574.07637719,6744,85494.26270500
949473.24272986,1176604.07358903,6746,78294.74584600
949683.24815588,1176634.07080087,6747,65695.59134200
928292.69547675,1176334.09868247,6788,158389.37090700
1114552.50797095,1176484.08474167,6827,91793.83995700
952383.31791902,1176574.07637719,6847,70195.28937900
959028.48961387,1176544.07916535,6894,60295.95369700
922262.5396724,1176244.10704695,6939,125091.60543200
1108672.35604232,1176214.10983511,6981,68395.41016400
1002664.61706379,1176304.10147063,7004,117892.08857300
1003564.64031817,1176364.09589431,7055,61195.89330500
1049495.82706676,1176424.09031799,7127,74694.98741600
946263.15978923,1176304.10147063,7158,62995.77252000
1123207.73160058,1176304.10147063,7187,72895.10820100
1061496.13712517,1176274.10425879,7234,58496.07448300
1114102.49634376,1176274.10425879,7350,75594.92702400
915047.35324977,1176064.12377591,7413,240283.87518200
1002199.60504902,1175764.15165751,7433,84594.32309800
930677.75710086,1176154.11541143,7477,74694.98741600
1047665.77978285,1176124.11819959,7500,53996.37644500
1088976.84715895,1176064.12377591,7568,83694.38349000
1032485.38755895,1175344.19069175,7658,135890.88072100
1072386.41850319,1175944.13492855,7665,223185.02264100
986014.18685773,1175944.13492855,7704,65695.59134200
1047410.77319411,1175854.14329303,7724,186287.49873700
959448.50046591,1175944.13492855,7761,53096.43683800
1024595.18369554,1175554.17117463,7779,89993.96074200
1031750.36856787,1176034.12656407,7780,67495.47055700
873571.28161037,1176034.12656407,7811,65695.59134200
894181.8141357,1175794.14886935,7814,179987.92148500
1122172.70485804,1175584.16838647,7865,56696.19526800
916097.38037989,1175944.13492855,7878,51296.55762300
958563.47759911,1175974.13214039,7885,75594.92702400
970698.79114568,1175704.15723383,7939,128691.36386200
1124677.76958273,1175764.15165751,7981,62995.77252000
931247.77182864,1175884.14050487,7999,54896.31605300
970068.77486761,1175794.14886935,8006,50396.61801600
1098547.09443053,1175854.14329303,8041,71995.16859400
1025270.20113633,1175854.14329303,8138,73795.04780900
1068516.31850935,1175824.14608119,8201,69295.34977200
1103677.22698051,1175764.15165751,8274,225884.84146300
899746.95792529,1175794.14886935,8283,58496.07448300
908117.17419104,1175794.14886935,8287,62995.77252000
1008919.77868174,1175734.15444567,8308,71995.16859400
1047830.78404615,1175494.17675095,8322,67495.47055700
1052705.91000738,1175584.16838647,8324,106192.87367600
915227.35790065,1175464.17953911,8350,161089.18972900
894586.82460017,1175434.18232727,8406,79194.68545300
922367.54238541,1175374.18790359,8414,251083.15047100
944883.12413251,1175674.16002199,8419,71995.16859400
1029725.31624552,1175734.15444567,8439,89993.96074200
1093191.95606696,1175704.15723383,8460,113392.39053500
959523.50240378,1175284.19626807,8485,63895.71212700
1061061.12588556,1175404.18511543,8552,235784.17714500
1115257.52618688,1175104.21299703,8572,331177.77553200
958458.4748861,1175584.16838647,8593,66595.53094900
987559.22677776,1175374.18790359,8604,53096.43683800
1006279.71046888,1175494.17675095,8610,52196.49723100
1036085.48057648,1175644.16281015,8622,62995.77252000
958953.48767601,1175554.17117463,8660,58496.07448200
990994.31553198,1175494.17675095,8668,52196.49723100
894001.80948483,1175554.17117463,8701,60295.95369700
945378.13692242,1175404.18511543,8712,76494.86663100
994459.40506134,1175434.18232727,8722,181787.80070000
1009594.79612252,1175134.21020887,8726,91793.83995700
1114012.49401832,1175554.17117463,8829,57596.13487500
900136.96800219,1175284.19626807,8840,89094.02113500
930347.74857426,1175404.18511543,8965,175488.22344800
1025030.19493516,1174954.22693783,8988,230384.53950000
973443.86207154,1175404.18511543,9040,57596.13487500
1023740.16160388,1174144.30221814,9054,232184.41871500
1037330.51274504,1175044.21857335,9108,103493.05485400
900586.97962938,1174924.22972599,9129,148490.03522500
1084611.7343752,1175314.19347991,9179,64795.65173400
1122097.70292018,1175194.20463255,9193,57596.13487500
962463.57836809,1175044.21857335,9219,138590.69954300
1034135.43019198,1174984.22414967,9233,143090.39758000
1045265.71777116,1174924.22972599,9236,116092.20935800
913592.31565519,1174804.24087863,9262,175488.22344700
1106407.2975188,1175164.20742071,9305,76494.86663100
1047440.77396925,1175254.19905623,9337,58496.07448300
962973.59154557,1174564.2631839,9367,286180.79516100
974148.88028747,1174744.24645495,9370,143090.39758000
1014604.92557191,1175134.21020887,9442,102593.11524600
959553.50317893,1174924.22972599,9482,209685.92853000
1054220.94915226,1174984.22414967,9507,140390.57875800
929507.72687017,1174834.23809047,9624,186287.49873700
944238.10746687,1175074.21578519,9626,87294.14192000
871036.21611053,1175044.21857335,9736,51296.55762300
1014289.91743288,1175014.22136151,9822,51296.55762300
1107442.32426133,1174864.23530231,9844,143990.33718800
1055615.98519655,1174654.25481943,9884,191687.13638100
923657.57571669,1174684.25203127,9913,113392.39053500
946023.15358806,1174774.24366679,9918,166488.82737300
976968.9531512,1174954.22693783,9925,65695.59134200
1045640.72746049,1174864.23530231,9942,78294.74584600
1055075.97124392,1174744.24645495,9944,267282.06340500
891406.74243469,1174834.23809047,9964,52196.49723100
978108.98260675,1174864.23530231,9980,53096.43683800
870031.19014314,1174654.25481943,10009,67495.47055700
1090536.88746654,1174774.24366679,10055,62995.77252000
1035515.4658487,1174624.25760759,10106,97193.47760200
938537.96018912,1174534.26597206,10132,79194.68545300
891751.75134887,1174654.25481943,10177,84594.32309800
975933.92640866,1174534.26597206,10247,131391.18268400
895516.8486297,1174654.25481943,10273,57596.13487500
949653.24738073,1174714.24924311,10291,132291.12229100
1040180.58638391,1174294.28827734,10313,87294.14192000
969663.76440314,1174534.26597206,10356,212385.74735200
1029980.32283426,1174564.2631839,10376,98093.41720900
900826.98583055,1174594.26039575,10400,119691.96778700
948273.21172401,1174534.26597206,10417,53096.43683800
956778.43147792,1174294.28827734,10420,94493.65878000
970353.7822315,1174564.2631839,10422,68395.41016400
1062276.15727897,1174534.26597206,10443,53096.43683800
915707.37030299,1174624.25760759,10458,53996.37644500
920087.48347431,1174504.26876022,10460,58496.07448300
987334.22096416,1174624.25760759,10473,180887.86109200
1060371.1080572,1174504.26876022,10533,78294.74584600
1052615.90768194,1174504.26876022,10582,152089.79365500
1122142.70408289,1174294.28827734,10664,57596.13487500
1045085.71312029,1174264.2910655,10702,215085.56617400
1076856.53399995,1174174.29942998,10709,87294.14192000
1037120.50731901,1174474.27154838,10766,50396.61801600
942048.05088121,1174354.28270102,10871,68395.41016400
960063.51635641,1174384.27991286,10876,52196.49723100
962598.58185625,1174204.29664182,10878,51296.55762300
929627.72997075,1174324.28548918,10923,116092.20935800
1035785.47282502,1174144.30221814,11009,265482.18419000
1002619.61590107,1173904.32452342,11054,60295.95369700
1036610.49414153,1174204.29664182,11061,89094.02113500
1042235.63948141,1174234.29385366,11064,98993.35681700
1043090.66157308,1174204.29664182,11065,64795.65173500
923627.57494154,1174204.29664182,11147,51296.55762300
949623.24660559,1174174.29942998,11153,89993.96074200
914867.3485989,1174114.3050063,11252,74694.98741600
957288.4446554,1174234.29385366,11266,53096.43683800
986149.19034589,1173904.32452342,11271,51296.55762300
1020185.06974907,1173994.31615894,11287,57596.13487500
900421.97536608,1174144.30221814,11313,75594.92702400
920267.48812519,1173814.3328879,11322,278081.33869400
980914.05508291,1173844.33009974,11334,104392.99446100
992014.34188694,1173904.32452342,11337,58496.07448300
955608.40124722,1174084.30779446,11380,52196.49723100
998974.52172082,1173724.34125238,11387,73795.04780900
1023050.14377552,1174114.3050063,11395,57596.13487500
1076451.52353547,1174054.31058262,11443,62095.83291200
915692.36991541,1173694.34404054,11461,94493.65878000
991024.31630712,1174054.31058262,11487,118792.02818000
1116232.55137912,1173544.35798134,11514,270881.82183500
933692.83500304,1174024.31337078,11537,117892.08857200
1028210.27710064,1174084.30779446,11559,74694.98741600
932897.81446167,1173994.31615894,11599,161989.12933600
1020575.07982597,1173694.34404054,11675,68395.41016400
955923.40938625,1173994.31615894,11706,167388.76698100
985624.17678084,1173754.33846422,11762,79194.68545300
1069926.35494121,1173304.38028662,11775,236684.11675200
913832.32185636,1173784.33567606,11795,83694.38349000
934502.85593198,1173634.34961686,11805,103493.05485400
949248.23691626,1173604.35240502,11862,73795.04780900
1049945.83869395,1173754.33846422,11889,60295.95369700
1023875.16509204,1173844.33009974,11944,79194.68545300
1024415.17904467,1173574.35519318,11945,80094.62506100
1112542.45603616,1173394.37192214,11964,181787.80069900
1013134.88758975,1173304.38028662,12003,62995.77252000
969033.74812507,1173664.3468287,12047,71995.16859400
1044515.69839251,1173514.3607695,12067,130491.24307600
969618.76324042,1173724.34125238,12146,77394.80623800
1024130.17168078,1173664.3468287,12157,78294.74584600
1024805.18912156,1173454.36634582,12159,77394.80623900
1025210.19958604,1173514.3607695,12161,298779.94966500
1114132.4971189,1172674.43883798,12173,368975.23904400
892621.77382811,1173574.35519318,12174,88194.08152800
892831.77925413,1173454.36634582,12175,68395.41016400
1061091.1266607,1173274.38307478,12216,113392.39053500
1015894.95890319,1173274.38307478,12259,60295.95369700
913127.30364043,1173634.34961686,12286,53096.43683800
985819.18181928,1173634.34961686,12303,55796.25566000
1013944.9085187,1173574.35519318,12313,63895.71212700
996154.4488571,1173304.38028662,12407,92693.77956500
929177.71834356,1173304.38028662,12446,65695.59134200
1025885.21702682,1173514.3607695,12470,106192.87367600
949413.24117956,1173394.37192214,12499,71095.22898700
999499.53528588,1173064.4025919,12564,56696.19526800
1003744.64496904,1173454.36634582,12568,109792.63210600
1029665.31469522,1173514.3607695,12576,230384.53950100
1012369.86782353,1172884.41932086,12667,156589.49169200
1023440.15385242,1173154.39422742,12726,70195.28937900
1112752.46146218,1173244.38586294,12746,52196.49723100
1114957.51843542,1173214.3886511,12814,219585.26421100
1028495.28446453,1172974.41095638,12856,71095.22898700
1115842.54130223,1173334.37749846,12883,62995.77252000
985999.18647016,1173124.39701558,12924,62095.83291200
1056666.01232666,1173184.39143926,12947,288880.61398200
1033220.40655003,1173124.39701558,13022,53996.37644500
1036370.48794036,1173124.39701558,13026,67495.47055700
1049585.82939219,1173094.39980374,13030,126891.48464700
1066851.27548874,1173124.39701558,13093,59396.01409000
910097.22535068,1173184.39143926,13116,62095.83291200
917552.41797447,1173214.3886511,13122,83694.38349000
1044665.70226824,1173244.38586294,13163,63895.71212700
939587.98731924,1172284.47508406,13199,435570.76999300
1113262.47463967,1172854.42210902,13243,179087.98187700
909122.20015843,1172884.41932086,13252,76494.86663100
1036760.49801726,1172824.42489718,13345,81894.50427600
1090596.88901683,1173094.39980374,13362,121491.84700200
907577.16023841,1173004.40816822,13378,104392.99446100
917237.40983544,1172974.41095638,13380,78294.74584600
928592.70322821,1173034.40538006,13487,56696.19526800
911342.25751924,1172914.4165327,13540,51296.55762300
1043180.66389851,1172914.4165327,13577,208785.98892200
956478.42372646,1172704.43604982,13667,62095.83291200
1066941.27781418,1172584.44720246,13688,57596.13487500
893581.79863278,1172584.44720246,13706,116092.20935800
1030220.32903543,1172794.42768534,13750,60295.95369700
1034000.42670383,1172884.41932086,13751,53096.43683800
1054745.96271731,1172884.41932086,13754,53096.43683800
1024775.18834642,1172854.42210902,13809,107092.81328400
1091601.91498422,1172884.41932086,13826,303279.64770200
1041785.62785422,1172884.41932086,13862,83694.38349000
1086141.77390765,1172824.42489718,13869,59396.01409000
1011514.84573187,1172824.42489718,13907,65695.59134200
873106.26959561,1172674.43883798,13927,55796.25566000
969018.7477375,1172764.4304735,13947,98093.41720900
1018955.03796809,1172794.42768534,13962,75594.92702400
1049195.8193153,1172614.4444143,13968,50396.61801600
970098.77564276,1172644.44162614,14010,99893.29642400
1006339.71201918,1172584.44720246,14018,67495.47055700
920042.48231159,1172524.45277878,14057,80094.62506100
1086576.78514726,1172644.44162614,14089,75594.92702400
1112737.46107461,1172314.4722959,14099,133191.06189900
1088946.8463838,1172434.46114326,14198,55796.25566000
1115257.52618688,1172494.45556694,14292,72895.10820100
1001089.57636862,1172014.50017749,14329,101693.17563900
1047515.77590712,1172614.4444143,14341,79194.68545300
1113367.47735268,1172404.46393142,14355,102593.11524600
998029.49730372,1172554.44999062,14386,59396.01409000
1067181.28401535,1172524.45277878,14401,182687.74030700
917192.40867272,1172404.46393142,14429,152089.79365500
1069026.33168683,1172404.46393142,14475,182687.74030700
906242.12574441,1172074.49460117,14497,134091.00150600
962013.5667409,1172374.46671958,14514,89993.96074200
960468.52682088,1172404.46393142,14561,52196.49723100
887686.64631659,1172134.48902485,14597,191687.13638100
911087.2509305,1172194.48344853,14601,75594.92702400
937082.92259454,1172374.46671958,14659,96293.53799400
1056231.00108704,1171804.51969461,14678,117892.08857300
1057941.04527037,1172044.49738933,14679,335677.47356900
894106.81219784,1172344.46950774,14703,60295.95369700
894781.82963862,1172404.46393142,14704,157489.43129900
905957.11838052,1172224.48066037,14705,65695.59134200
990154.29382789,1172374.46671958,14726,107992.75289100
1004284.65892167,1172074.49460117,14728,63895.71212700
952863.33032136,1172374.46671958,14768,61195.89330500
1012939.88255131,1172044.49738933,14790,117892.08857300
908912.19473241,1172314.4722959,14814,83694.38349000
1006399.71356947,1172164.48623669,14841,89094.02113500
1043210.66467366,1171594.53921173,14850,148490.03522500
1059501.08557796,1172314.4722959,14851,76494.86663100
974478.88881408,1172164.48623669,14893,82794.44388300
1026650.23679305,1172044.49738933,14903,163789.00855100
1068636.32160993,1172254.47787221,14909,59396.01409000
1056711.01348938,1172224.48066037,14970,64795.65173500
919712.47378498,1172224.48066037,15005,84594.32309800
1016734.98060728,1172074.49460117,15027,60295.95369700
904157.07187176,1172164.48623669,15053,59396.01409000
1030475.33562417,1172104.49181301,15086,70195.28937900
912017.27496002,1171744.52527093,15114,77394.80623900
962103.56906634,1172104.49181301,15129,105292.93406900
1104787.25566091,1172134.48902485,15160,102593.11524600
960348.5237203,1172044.49738933,15190,108892.69249800
909677.21449863,1171714.52805909,15277,116992.14896500
942348.05863267,1172044.49738933,15288,95393.59838700
1030745.34260048,1171954.50575381,15315,65695.59134200
1058931.07085019,1172014.50017749,15321,71095.22898700
1060236.10456904,1171894.51133013,15323,52196.49723100
912212.27999847,1171924.50854197,15343,65695.59134200
938522.95980155,1171714.52805909,15351,100793.23603100
1042370.64296957,1172014.50017749,15387,70195.28937900
1088646.83863234,1171444.55315253,15395,284380.91594600
952728.3268332,1171714.52805909,15487,196186.83441800
1039640.57243128,1171744.52527093,15506,187187.43834400
1087311.80413834,1171894.51133013,15586,233984.29793000
961383.55046283,1171864.51411829,15612,106192.87367600
1077906.56113006,1171924.50854197,15639,98093.41720900
1088406.83243117,1171894.51133013,15644,80094.62506100
915497.36487696,1171384.55872885,15660,142190.45797300
884866.57345286,1171624.53642357,15713,61195.89330500
905507.10675333,1171534.54478805,15785,97193.47760200
915137.35557521,1171684.53084725,15856,70195.28937900
988324.24654398,1171684.53084725,15867,81894.50427600
1082466.67895226,1171564.54199989,15959,67495.47055700
942153.05359422,1171354.56151701,16104,77394.80623800
1005064.67907547,1171624.53642357,16215,87294.14192000
1060311.1065069,1171564.54199989,16225,66595.53094900
937217.9260827,1171384.55872885,16260,84594.32309800
951948.3066794,1171474.55036437,16317,161989.12933600
965568.65859571,1171504.54757621,16380,62095.83291200
989689.28181312,1171024.59218677,16385,345576.80925100
1117702.58936128,1171444.55315253,16410,79194.68545300
942468.06173326,1171444.55315253,16421,51296.55762300
995119.42211456,1171534.54478805,16438,134091.00150600
1066701.27161301,1171234.57266965,16457,205186.23049300
1042925.65730977,1171474.55036437,16516,53996.37644500
968058.72293283,1171174.57824597,16555,387873.97080000
1076211.51733431,1171384.55872885,16585,58496.07448300
979489.01826347,1171354.56151701,16619,87294.14192000
1032110.37786963,1171144.58103413,16638,63895.71212700
959658.50589194,1171084.58661045,16680,206086.17010000
965358.65316968,1171174.57824597,16684,90893.90035000
983494.12174547,1171234.57266965,16793,179087.98187700
1117762.59091157,1171084.58661045,16821,60295.95369700
1043210.66467366,1171234.57266965,16865,57596.13487500
877066.37191489,1171234.57266965,16885,52196.49723100
1056666.01232666,1171054.58939861,16923,171888.46501800
1089066.84948438,1171234.57266965,16933,137690.75993600
937292.92802056,1171084.58661045,16952,58496.07448300
950703.27451084,1170694.62285653,17143,123291.72621700
1033880.42360324,1170874.60612757,17163,136790.82032800
1077831.55919219,1170964.59776309,17167,65695.59134200
972738.84385561,1170904.60333941,17213,51296.55762300
936557.90902949,1170964.59776309,17264,58496.07448300
937652.93732232,1171054.58939861,17266,119691.96778700
950403.26675938,1170394.65073813,17389,315878.80220600
966513.68301281,1170934.60055125,17395,61195.89330500
966978.69502757,1170574.63400917,17444,106192.87367600
900226.97032763,1170784.61449205,17486,80094.62506100
