"a_Own_Name","totarea"
"0125",1600838.628717
"0135",8649202.747051
"0145",32153.55326
"0165",317227.608788
"0310",169275.465555
"0330",4852295.686904
"0340",1600609.352676
"0360",266783.804875
"0370",31896.494702
"0630",64239.833958
"0660",762816.799866
"0710",3941285.151142
"0800",181133.91437
"0910",77313.579214
NA,162685055.870466
