"a_Own_Name","totarea"
"0125",76996922.205606
"0130",707358879.620659
"0135",3471183.021908
"0145",1270223.734393
"0170",154692.271206
"0310",41575169.436648
"0330",72862343.659175
"0340",115267742.843097
"0510",247231.455203
"0520",1377824.266716
"0630",6668909.998165
"0660",5863966.257753
"0710",2758453.618902
"0910",29899674.541388
NA,4040938125.31939
