"a_Own_Name","totarea"
"0125",10631495.000373
"0130",872048764.040767
"0145",20872543.073123
"0165",4130.286818
"0310",298011.065978
"0315",23296518.745968
"0320",331267914.963387
"0325",54109361.126144
"0330",10816821.228086
"0395",125247467.467834
"0420",163483417.626456
"0510",24487205.629231
"0520",18294447.653089
"0610",226053.383383
"0620",654748.834394
"0630",477892.533115
"0655",5161311.115889
"0660",12414787.351264
"0710",38734020.474567
"0720",104792.614857
"0800",17816284.289999
"0910",6663826.642474
NA,3626254088.99983
