"a_Own_Name","totarea"
"0130",67582607.223974
"0135",114154938.383305
"0145",204712.567288
"0310",2810172.944388
"0320",97906763.473931
"0325",1266822349.1213
"0330",59652544.689677
"0350",778227.411089
"0370",8099.456467
"0380",7037283.119035
"0395",1117887.659936
"0420",205332269.420457
"0510",526522.491911
"0520",2051814.199275
"0610",712106.422407
"0620",2206716.003908
"0630",3717204.66495
"0660",26050306.66245
"0710",37134752.284528
"0800",306021.561821
"0910",20515118.240821
NA,4451696236.56393
