"a_Own_Name","totarea"
"0110",5853864.612335
"0130",3223562490.65028
"0135",10837919.380391
"0145",9636234.456886
"0220",3091804.003666
"0310",292032.938163
"0320",216469188.298068
"0330",5311869.290008
"0520",33008.994433
"0630",484245.640418
"0710",863359.23206
"0800",47782.850697
"0910",2024480.438963
NA,438238707.545498
