"a_Own_Name","totarea"
"0130",333865315.12334
"0135",190612869.369283
"0145",1594095.994074
"0310",6093307.731998
"0320",362473120.422208
"0325",2062738846.82352
"0330",45548926.177615
"0350",15679053.972485
"0370",467786.161715
"0380",94925.899528
"0395",3998447.91725
"0420",40985218.832705
"0510",586787.173044
"0520",1348122.422044
"0610",273907.318587
"0620",1128272.447161
"0630",9725082.938405
"0660",41206741.871408
"0710",106968934.959922
"0800",805432.841551
"0910",9710942.592941
NA,7960292440.82175
