"a_Own_Name","totarea"
"0125",567709.888778
"0130",140928493.874541
"0145",1562038.014972
"0165",213622.319407
"0310",42745.053541
"0315",6624865.239497
"0320",114624199.172898
"0325",10339502.86155
"0330",2123480.408984
"0395",47449014.673282
"0420",54168024.633683
"0510",2991255.231381
"0520",7291323.018771
"0610",2636.764839
"0620",109593.614013
"0630",21887.092211
"0655",439490.583455
"0660",8863663.509102
"0710",18645161.829039
"0720",333219.617047
"0800",2521645.152035
"0910",4056305.290847
NA,1724439138.6307
